Score,Steps,Bombs_placed,Invalid_moves,Epsilon
5,233,13,7,0.01
1,200,4,4,0.01
4,150,12,5,0.01
0,62,8,2,0.01
2,38,4,1,0.01
4,347,9,2,0.01
7,167,7,8,0.01
2,139,7,3,0.01
0,45,5,6,0.01
0,5,1,2,0.01
2,137,6,3,0.01
2,217,8,3,0.01
0,110,1,5,0.01
2,167,5,3,0.01
1,80,7,6,0.01
0,96,5,6,0.01
5,207,11,9,0.01
3,147,8,5,0.01
1,170,8,4,0.01
3,80,8,4,0.01
2,389,5,7,0.01
2,295,10,7,0.01
0,111,3,5,0.01
0,141,4,1,0.01
2,203,2,3,0.01
0,221,5,6,0.01
1,336,6,3,0.01
2,76,9,3,0.01
2,74,7,2,0.01
0,81,1,3,0.01
4,308,4,4,0.01
0,40,3,1,0.01
9,383,10,6,0.01
2,226,9,3,0.01
2,40,3,1,0.01
0,73,3,6,0.01
0,121,1,4,0.01
0,115,1,4,0.01
0,5,1,3,0.01
11,400,16,20,0.01
9,400,5,4,0.01
7,376,4,3,0.01
0,115,1,4,0.01
1,46,5,2,0.01
2,400,4,7,0.01
6,301,8,6,0.01
2,303,10,5,0.01
3,58,3,0,0.01
4,184,7,2,0.01
0,173,6,5,0.01
0,20,1,4,0.01
3,202,4,5,0.01
3,108,5,4,0.01
1,51,5,1,0.01
9,270,11,6,0.01
3,190,11,4,0.01
2,246,11,5,0.01
3,113,9,4,0.01
1,316,7,4,0.01
1,276,1,2,0.01
3,389,8,5,0.01
0,93,2,1,0.01
4,261,14,3,0.01
4,133,2,0,0.01
2,114,6,4,0.01
1,263,9,2,0.01
0,28,4,1,0.01
0,38,1,3,0.01
1,25,3,0,0.01
0,53,1,2,0.01
0,92,1,1,0.01
1,103,1,0,0.01
4,373,12,6,0.01
2,147,4,4,0.01
0,87,1,2,0.01
6,299,14,4,0.01
0,134,0,1,0.01
2,126,10,2,0.01
4,162,8,4,0.01
4,193,13,9,0.01
1,105,11,7,0.01
3,198,5,5,0.01
5,223,14,7,0.01
1,49,5,3,0.01
0,22,3,2,0.01
2,61,4,3,0.01
1,73,9,8,0.01
4,148,10,5,0.01
6,227,10,3,0.01
4,88,9,6,0.01
6,189,7,8,0.01
1,55,7,5,0.01
1,40,4,3,0.01
1,43,4,5,0.01
0,66,0,1,0.01
1,89,8,4,0.01
4,153,11,3,0.01
4,229,19,7,0.01
4,224,17,8,0.01
1,21,2,1,0.01
0,21,3,1,0.01
8,162,11,10,0.01
3,135,6,9,0.01
0,14,2,0,0.01
1,177,8,9,0.01
4,158,8,8,0.01
2,160,9,6,0.01
0,43,3,1,0.01
1,143,2,6,0.01
0,107,3,2,0.01
2,376,4,6,0.01
3,330,11,4,0.01
4,67,5,4,0.01
2,300,9,12,0.01
7,375,19,5,0.01
4,282,9,7,0.01
0,68,4,4,0.01
1,28,3,3,0.01
2,82,6,4,0.01
1,78,6,4,0.01
2,260,8,6,0.01
0,59,3,2,0.01
1,220,4,4,0.01
0,29,3,1,0.01
1,137,9,7,0.01
1,48,4,1,0.01
3,153,10,8,0.01
7,400,11,9,0.01
0,29,4,1,0.01
3,143,3,3,0.01
2,79,9,1,0.01
2,166,8,9,0.01
1,62,4,5,0.01
2,122,4,1,0.01
0,27,3,4,0.01
0,96,2,2,0.01
2,59,4,3,0.01
0,66,3,2,0.01
2,98,3,1,0.01
1,86,5,3,0.01
1,400,6,5,0.01
0,13,1,4,0.01
1,58,6,4,0.01
0,79,1,3,0.01
0,278,3,2,0.01
6,240,10,7,0.01
5,67,6,3,0.01
8,317,10,16,0.01
0,118,2,6,0.01
0,238,3,6,0.01
1,246,6,8,0.01
1,252,4,9,0.01
1,129,2,3,0.01
1,284,2,1,0.01
4,181,8,2,0.01
1,225,3,3,0.01
0,73,1,3,0.01
1,104,8,10,0.01
5,388,12,6,0.01
3,117,9,5,0.01
2,111,8,5,0.01
6,71,8,4,0.01
1,53,4,2,0.01
3,330,6,4,0.01
0,43,1,3,0.01
0,86,2,4,0.01
2,99,9,6,0.01
3,73,6,7,0.01
0,83,1,3,0.01
0,42,3,2,0.01
4,171,8,5,0.01
0,96,6,4,0.01
8,136,12,7,0.01
1,48,6,4,0.01
0,46,3,2,0.01
3,113,7,6,0.01
0,43,3,1,0.01
1,54,5,5,0.01
4,186,6,5,0.01
4,81,8,3,0.01
0,27,4,5,0.01
0,22,3,4,0.01
3,257,13,5,0.01
1,95,3,2,0.01
1,78,6,4,0.01
1,68,4,5,0.01
4,138,7,3,0.01
5,199,11,11,0.01
0,24,3,3,0.01
0,37,3,3,0.01
1,112,7,4,0.01
0,23,3,0,0.01
1,64,5,1,0.01
2,56,5,5,0.01
5,290,17,7,0.01
3,157,6,4,0.01
1,73,6,3,0.01
