Score,Steps,Bombs_placed,Invalid_moves,Epsilon
49,297,1,1,0.01
49,353,0,0,0.01
49,294,0,1,0.01
49,379,1,0,0.01
49,339,0,0,0.01
42,400,0,0,0.01
49,400,1,2,0.5
20,115,4,8,0.39
8,34,3,1,0.36
11,24,1,1,0.36
11,33,1,4,0.34
1,8,1,0,0.33
5,21,1,1,0.32
12,56,3,5,0.29
4,19,1,1,0.28
10,39,1,4,0.26
34,100,2,13,0.24
31,122,4,12,0.2
3,15,1,3,0.19
35,131,6,9,0.17
44,168,4,9,0.16
32,103,2,8,0.14
49,198,3,12,0.13
49,192,3,10,0.11
14,37,1,0,0.11
19,55,2,3,0.11
11,79,1,4,0.1
44,177,3,7,0.09
25,64,1,0,0.09
9,21,1,0,0.09
10,36,2,1,0.08
31,96,3,7,0.08
45,192,3,3,0.07
49,206,3,4,0.07
49,232,2,1,0.06
49,214,1,7,0.06
49,166,1,3,0.06
49,222,0,4,0.06
10,28,1,3,0.05
49,183,0,4,0.05
49,250,1,2,0.05
49,161,3,4,0.05
49,229,1,3,0.04
49,172,2,2,0.04
39,105,1,1,0.04
49,187,3,2,0.04
49,173,0,0,0.04
49,181,1,3,0.04
49,286,0,0,0.04
49,197,4,3,0.03
49,171,1,0,0.03
49,165,1,0,0.03
39,102,2,0,0.03
49,204,0,3,0.03
49,198,2,1,0.03
49,159,2,0,0.03
49,149,1,0,0.03
49,182,1,3,0.03
49,172,1,0,0.03
49,192,2,0,0.03
49,159,0,0,0.03
49,161,1,2,0.03
49,160,0,2,0.03
49,171,1,0,0.03
49,151,0,1,0.02
49,156,1,1,0.02
49,158,0,1,0.02
48,154,1,1,0.02
49,193,1,1,0.02
49,223,2,2,0.02
5,11,1,1,0.02
49,207,1,2,0.02
49,183,1,0,0.02
49,160,1,0,0.02
49,163,0,1,0.02
49,166,2,1,0.02
49,153,1,2,0.02
49,200,0,2,0.02
49,171,2,0,0.02
49,150,0,0,0.02
49,150,0,0,0.02
49,168,0,1,0.02
49,134,1,2,0.02
49,172,1,2,0.02
49,161,0,1,0.02
49,190,0,3,0.02
49,182,0,1,0.02
49,154,0,0,0.02
49,156,1,0,0.02
49,181,0,0,0.02
49,167,0,2,0.02
49,177,1,1,0.02
49,185,1,1,0.02
49,171,1,0,0.02
49,179,0,3,0.02
49,165,1,1,0.02
49,129,0,0,0.01
49,164,0,2,0.01
49,204,1,0,0.01
49,156,0,1,0.01
49,219,0,1,0.01
49,231,0,3,0.01
49,227,0,5,0.01
49,214,0,2,0.01
49,166,0,2,0.01
49,155,0,6,0.01
49,163,1,7,0.5
4,17,2,3,0.48
10,35,1,6,0.45
16,77,5,8,0.37
14,42,2,3,0.34
