Score,Steps,Bombs_placed,Invalid_moves,Epsilon
1,106,4,7,0.01
5,253,18,16,0.01
1,53,4,4,0.01
9,327,29,8,0.01
7,400,39,18,0.01
4,220,17,16,0.01
3,400,39,18,0.01
5,400,39,22,0.01
1,17,2,3,0.01
2,113,11,9,0.01
2,42,4,1,0.01
3,265,19,7,0.01
3,118,8,3,0.01
0,53,7,6,0.01
1,61,7,13,0.01
6,372,40,21,0.01
0,110,8,16,0.01
6,265,22,14,0.01
3,59,5,2,0.01
4,89,5,5,0.01
2,400,29,26,0.01
0,74,6,3,0.01
3,76,8,5,0.01
4,72,8,1,0.01
0,72,2,6,0.01
3,46,5,4,0.01
4,292,17,8,0.01
3,385,34,20,0.01
3,349,28,15,0.01
3,93,9,2,0.01
4,103,10,4,0.01
1,82,7,4,0.01
2,132,11,8,0.01
7,321,26,9,0.01
5,210,15,11,0.01
3,211,13,11,0.01
3,400,36,15,0.01
3,400,37,20,0.01
6,382,15,8,0.01
0,34,3,3,0.01
3,298,19,15,0.01
1,147,13,13,0.01
3,112,11,6,0.01
3,400,33,16,0.01
4,170,15,4,0.01
3,83,8,5,0.01
2,196,14,5,0.01
5,72,7,6,0.01
0,6,1,0,0.01
2,264,23,11,0.01
4,95,7,5,0.01
6,170,13,10,0.01
3,147,11,3,0.01
2,400,37,11,0.01
3,102,5,12,0.01
8,400,45,23,0.01
2,138,13,8,0.01
4,62,7,6,0.01
1,52,6,6,0.01
1,73,5,4,0.01
2,85,8,11,0.01
4,109,11,7,0.01
4,105,7,8,0.01
1,77,7,4,0.01
5,220,17,9,0.01
0,113,9,3,0.01
11,241,16,2,0.01
3,92,8,3,0.01
0,39,4,3,0.01
4,264,25,14,0.01
2,66,7,4,0.01
1,52,4,4,0.01
3,254,20,6,0.01
0,73,4,3,0.01
1,113,8,9,0.01
2,95,9,5,0.01
1,74,6,5,0.01
0,51,7,1,0.01
2,250,22,8,0.01
3,236,22,14,0.01
3,174,14,7,0.01
3,252,18,2,0.01
5,400,33,17,0.01
1,51,6,0,0.01
1,87,9,9,0.01
3,177,16,7,0.01
2,193,13,17,0.01
0,90,7,11,0.01
0,33,4,1,0.01
2,400,44,38,0.01
4,281,25,14,0.01
1,69,7,2,0.01
1,40,5,3,0.01
5,252,11,12,0.01
3,322,24,14,0.01
3,400,42,21,0.01
2,76,9,2,0.01
3,400,31,20,0.01
1,17,2,4,0.01
3,146,12,14,0.01
3,278,20,10,0.01
2,82,8,3,0.01
0,400,40,17,0.01
5,161,13,8,0.01
0,104,9,11,0.01
8,400,39,18,0.01
1,56,5,5,0.01
5,89,7,7,0.01
2,87,9,8,0.01
1,247,13,9,0.01
1,77,7,6,0.01
0,54,4,2,0.01
1,65,7,5,0.01
1,312,30,19,0.01
3,258,21,11,0.01
0,59,7,3,0.01
3,85,8,5,0.01
3,400,22,14,0.01
