Score,Steps,Bombs_placed,Invalid_moves,Epsilon
6,351,4,3,0.01
0,208,5,6,0.01
1,143,3,9,0.01
1,400,15,1,0.01
2,146,3,10,0.01
0,109,1,1,0.01
4,377,3,3,0.01
2,120,2,3,0.01
0,400,4,2,0.01
1,89,4,7,0.01
5,342,12,15,0.01
1,282,12,11,0.01
4,231,16,7,0.01
1,400,3,3,0.01
2,400,19,0,0.01
0,201,9,4,0.01
1,312,6,3,0.01
0,24,2,2,0.01
0,226,4,11,0.01
0,153,0,5,0.01
1,123,2,1,0.01
0,125,2,3,0.01
0,24,3,5,0.01
0,400,4,8,0.01
0,23,1,4,0.01
3,206,3,10,0.01
1,85,5,4,0.01
0,151,0,6,0.01
4,313,14,9,0.01
0,110,1,1,0.01
8,363,14,5,0.01
3,147,9,10,0.01
0,104,1,3,0.01
3,340,8,8,0.01
2,275,6,11,0.01
0,130,3,5,0.01
4,209,2,9,0.01
2,280,4,6,0.01
4,400,7,3,0.01
1,400,7,5,0.01
1,127,8,5,0.01
10,341,12,4,0.01
2,290,18,2,0.01
2,96,5,2,0.01
3,232,11,7,0.01
1,51,7,4,0.01
0,91,1,2,0.01
0,57,1,3,0.01
0,94,0,2,0.01
2,189,7,5,0.01
1,91,4,10,0.01
1,182,3,3,0.01
1,239,8,12,0.01
4,400,18,11,0.01
0,13,2,3,0.01
2,89,3,1,0.01
1,186,8,6,0.01
0,7,1,0,0.01
0,102,1,10,0.01
3,86,6,6,0.01
5,212,9,7,0.01
0,28,3,7,0.01
3,309,20,4,0.01
2,260,8,8,0.01
2,387,13,6,0.01
1,372,6,11,0.01
1,77,2,6,0.01
2,367,9,5,0.01
0,200,2,4,0.01
1,140,4,3,0.01
0,290,4,6,0.01
2,91,5,4,0.01
5,214,4,7,0.01
5,244,13,6,0.01
4,221,9,6,0.01
1,205,4,6,0.01
3,273,8,6,0.01
1,52,3,1,0.01
1,181,1,0,0.01
7,331,8,7,0.01
8,400,21,12,0.01
4,260,11,5,0.01
2,54,4,5,0.01
2,78,6,6,0.01
0,155,4,5,0.01
3,198,8,4,0.01
2,159,3,5,0.01
2,102,5,1,0.01
0,203,3,6,0.01
2,126,5,5,0.01
0,118,6,7,0.01
0,288,14,6,0.01
3,233,10,12,0.01
1,102,5,5,0.01
1,68,7,9,0.01
4,400,20,6,0.01
2,400,19,8,0.01
1,168,5,5,0.01
